                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.6416,                 1.1336,                 1.4545,                0.80017,                0.66282,                0.76545,                0.38759,                 1.7878,                 1.1713,                 1.3962,               0.001307,               0.001307,               0.001307
                     37,                  1.623,                 1.0583,                  1.393,                0.79825,                0.71015,                0.78963,                0.40568,                 1.7672,                 1.1018,                 1.3731,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5997,                  1.099,                 1.4286,                0.80859,                0.69103,                0.79663,                 0.4355,                 1.6822,                 1.0035,                 1.3252,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5603,                 1.0469,                 1.3814,                0.81492,                0.67177,                0.76397,                0.36345,                 1.8881,                 1.0189,                 1.3592,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5703,                 1.0055,                 1.3695,                0.85707,                0.72262,                0.82755,                0.47254,                 1.5891,                0.96435,                 1.2846,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5218,                 1.0001,                 1.3661,                0.87338,                0.71026,                0.82436,                0.46145,                 1.6338,                0.97154,                 1.3041,               0.001208,               0.001208,               0.001208
                     42,                 1.6468,                 1.0527,                 1.3934,                 0.8219,                0.73366,                0.80679,                0.42093,                 1.6962,                0.99333,                 1.3157,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5743,                 1.0257,                 1.3423,                0.86993,                0.73743,                0.85642,                0.45522,                 1.6874,                0.98514,                 1.2985,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5098,                0.97649,                 1.3208,                0.88458,                0.77308,                0.86072,                0.49251,                 1.5482,                0.92557,                 1.2525,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5074,                0.95522,                 1.3329,                0.88281,                0.76154,                0.85882,                0.49906,                 1.5208,                0.90784,                 1.2447,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4885,                0.97916,                 1.3354,                0.79846,                0.74156,                0.78364,                0.42735,                 1.6515,                0.99206,                 1.3092,               0.001109,               0.001109,               0.001109
                     47,                 1.4517,                0.95341,                 1.3032,                0.74307,                0.69359,                0.70704,                0.32493,                 1.9883,                  1.109,                 1.4142,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4472,                0.95162,                  1.325,                0.81679,                0.74872,                0.80823,                0.46395,                 1.5339,                0.92227,                 1.2456,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4606,                0.93855,                 1.2954,                0.84669,                0.74744,                0.83096,                0.46041,                 1.5863,                0.89686,                 1.2419,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4349,                0.94143,                 1.2834,                0.83044,                 0.7535,                0.82345,                0.48035,                 1.5062,                0.90193,                 1.2352,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.439,                0.94516,                 1.2871,                0.86588,                0.76538,                0.86096,                0.52161,                 1.4453,                0.87969,                 1.2154,                0.00101,                0.00101,                0.00101
                     52,                 1.4092,                0.87936,                 1.2537,                0.88074,                0.75746,                 0.8501,                0.49313,                 1.5222,                0.87379,                 1.2185,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.412,                0.86485,                 1.2386,                0.85013,                0.74103,                0.82183,                 0.4535,                 1.6231,                0.90617,                 1.2495,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4055,                0.86957,                 1.2407,                0.89635,                0.75897,                0.84574,                0.51466,                 1.4446,                0.89068,                 1.2057,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4289,                0.90853,                 1.2785,                0.87007,                0.77268,                0.84277,                 0.4842,                 1.5213,                 0.9102,                 1.2307,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3917,                0.89907,                 1.2524,                0.88097,                0.76154,                0.86499,                0.51858,                 1.4547,                0.87989,                    1.2,               0.000911,               0.000911,               0.000911
                     57,                 1.3883,                0.90934,                 1.2927,                0.86794,                0.78333,                0.86753,                 0.5134,                 1.4713,                0.87668,                 1.1967,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4342,                0.88659,                 1.2401,                0.82634,                0.77564,                0.82998,                0.46318,                 1.5592,                0.87877,                 1.2313,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3686,                0.88352,                 1.2811,                0.88023,                0.77949,                0.86317,                0.53532,                 1.3842,                0.82342,                  1.171,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3124,                0.84605,                 1.2229,                0.87735,                0.78867,                0.86387,                0.53608,                 1.3818,                0.82264,                 1.1629,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2953,                0.84587,                 1.2262,                0.87379,                0.78999,                0.86188,                0.51763,                  1.451,                0.82086,                 1.1721,               0.000812,               0.000812,               0.000812
                     62,                  1.358,                0.84346,                 1.2404,                0.88346,                0.81641,                 0.8829,                 0.5476,                 1.3787,                0.80392,                 1.1554,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3273,                0.83763,                 1.2343,                0.88111,                 0.8171,                0.88297,                0.53582,                 1.3873,                0.81198,                 1.1591,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3098,                0.82405,                 1.1986,                0.88985,                0.81154,                0.89357,                0.56402,                 1.3299,                0.78834,                 1.1427,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2179,                0.82883,                 1.2059,                0.85652,                0.82436,                0.88934,                0.56613,                 1.3212,                0.78606,                 1.1342,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3075,                0.83136,                 1.2368,                0.85591,                0.82821,                0.86789,                0.47754,                 1.5576,                0.82076,                 1.2009,               0.000713,               0.000713,               0.000713
                     67,                 1.3013,                0.81054,                 1.2069,                0.83629,                 0.8252,                0.87021,                0.56101,                 1.3102,                0.79292,                 1.1497,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2518,                0.81848,                 1.2057,                 0.8603,                0.79741,                0.86744,                0.56465,                 1.3051,                 0.8021,                 1.1415,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2345,                 0.8308,                 1.2088,                0.90067,                0.77692,                0.86722,                0.53071,                 1.3737,                0.82129,                 1.1571,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2528,                0.80613,                  1.183,                0.87352,                0.79686,                0.87364,                0.56052,                 1.3002,                0.80353,                 1.1222,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2516,                0.79495,                 1.2082,                0.88162,                0.79615,                0.86465,                  0.557,                 1.3123,                0.80067,                 1.1277,               0.000614,               0.000614,               0.000614
                     72,                 1.2089,                0.77216,                 1.1827,                0.83796,                0.82209,                0.85392,                0.51568,                 1.4272,                0.80974,                 1.1644,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2671,                 0.8234,                 1.2008,                0.87147,                0.78205,                0.84449,                0.51327,                 1.4047,                 0.8168,                 1.1803,              0.0005744,              0.0005744,              0.0005744
                     74,                  1.259,                0.80274,                 1.2037,                0.87508,                0.78333,                0.84518,                0.54304,                 1.3182,                0.81506,                  1.161,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2313,                0.79272,                 1.1759,                0.90714,                0.79231,                0.87391,                0.56607,                 1.3015,                0.78197,                  1.142,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2134,                 0.7831,                 1.1774,                0.86262,                0.82111,                0.87839,                0.54847,                  1.358,                0.77829,                 1.1431,               0.000515,               0.000515,               0.000515
                     77,                 1.1631,                0.74548,                 1.1564,                0.87954,                0.81154,                0.88326,                0.56384,                 1.3256,                0.76763,                 1.1289,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1874,                0.76985,                 1.1668,                0.90621,                0.80519,                0.89124,                0.58609,                 1.2696,                0.74428,                 1.1096,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1859,                0.76309,                  1.168,                0.92144,                0.79487,                0.89549,                0.58844,                 1.2556,                0.73406,                 1.1178,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1852,                0.76615,                 1.1911,                0.86119,                0.80897,                0.85067,                0.51562,                 1.4872,                0.80946,                 1.1889,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2132,                0.75127,                 1.1664,                0.85462,                0.79231,                0.83534,                0.49271,                 1.5269,                0.82711,                 1.2091,               0.000416,               0.000416,               0.000416
                     82,                 1.1576,                0.75891,                 1.1708,                0.84534,                0.80584,                0.83329,                0.53399,                 1.3358,                0.77481,                 1.1565,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2374,                0.77848,                  1.193,                0.87023,                0.83391,                0.88292,                0.57755,                 1.2574,                0.73272,                 1.1124,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1954,                0.75227,                 1.1971,                0.88719,                0.82692,                0.89437,                0.56454,                 1.3103,                 0.7448,                 1.1209,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2099,                0.76827,                 1.1651,                0.89665,                 0.8231,                 0.8944,                0.55926,                 1.3253,                0.75165,                  1.123,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1581,                0.72395,                 1.1325,                0.91314,                 0.8222,                0.90072,                0.59298,                 1.2348,                0.73297,                 1.1009,               0.000317,               0.000317,               0.000317
                     87,                 1.1594,                0.72098,                 1.1315,                0.92865,                0.81767,                0.90033,                0.57729,                 1.2874,                0.74608,                 1.1091,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.193,                0.74322,                 1.1743,                0.90863,                0.82179,                0.89726,                0.56864,                 1.2834,                0.74966,                 1.1079,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2123,                0.73681,                 1.1468,                0.91642,                0.81536,                0.88972,                0.55212,                 1.3418,                0.75675,                 1.1224,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2303,                0.74889,                 1.1717,                0.92123,                0.82179,                0.89568,                0.57351,                 1.3027,                0.73671,                 1.1156,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1456,                0.92318,                 1.1273,                0.89611,                0.83462,                0.89996,                0.59589,                 1.2377,                0.73343,                 1.1024,               0.000218,               0.000218,               0.000218
                     92,                  1.113,                0.82516,                 1.1785,                0.89646,                 0.8436,                0.89769,                0.59244,                 1.2554,                 0.7637,                 1.1063,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0968,                0.78132,                 1.1584,                0.89742,                0.84123,                0.89702,                0.58956,                 1.2563,                0.79038,                  1.108,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0602,                 0.7728,                  1.156,                0.88082,                0.80897,                 0.8673,                0.56762,                 1.3058,                0.85039,                 1.1339,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0644,                0.76435,                 1.1317,                0.86098,                0.81154,                0.85723,                0.54439,                 1.3657,                  0.832,                 1.1584,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0468,                0.73579,                   1.13,                0.86105,                0.81667,                0.86675,                0.55474,                 1.3211,                0.77879,                  1.134,               0.000119,               0.000119,               0.000119
                     97,                 1.0239,                0.73335,                 1.1032,                0.88137,                0.81918,                0.87364,                0.56583,                  1.302,                0.76336,                  1.122,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0532,                  0.738,                 1.1284,                0.88223,                0.81634,                 0.8823,                0.57775,                 1.2807,                0.74978,                 1.1053,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0012,                0.71651,                 1.1057,                0.89998,                0.81905,                   0.89,                0.58745,                   1.26,                0.74109,                 1.0928,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0447,                0.72988,                 1.1114,                0.89794,                0.82051,                0.89372,                  0.589,                 1.2505,                0.73887,                 1.0871,               3.98e-05,               3.98e-05,               3.98e-05
